,1,5,10,50,100,500,1000
-100,0.3467,0.3467,0.3467,0.3467,0.3467,0.3467,0.3467
-95,0.3467,0.3467,0.3467,0.3467,0.3467,0.3467,0.3467
-90,0.3467,0.3467,0.3467,0.3467,0.3467,0.3467,0.3467
-85,0.3867,0.3867,0.3867,0.3867,0.3867,0.3867,0.3867
-80,0.4,0.4,0.4,0.4,0.4,0.4,0.4
-75,0.4267,0.4267,0.4267,0.4267,0.4267,0.4267,0.4267
-70,0.4533,0.4533,0.4533,0.4533,0.4533,0.4533,0.4533
-65,0.6,0.6,0.6,0.6,0.6,0.6,0.6
-60,0.6,0.6,0.6,0.6,0.6,0.6,0.6
-55,0.68,0.68,0.68,0.68,0.68,0.68,0.68
-50,0.72,0.72,0.72,0.72,0.72,0.72,0.72
-45,0.7867,0.8,0.8,0.8,0.8,0.8,0.8
-40,0.8933,0.8933,0.8933,0.8933,0.8933,0.8933,0.8933
-35,0.92,0.9067,0.9067,0.9067,0.9067,0.9067,0.9067
-30,0.9467,0.9333,0.9333,0.9333,0.9333,0.9333,0.9333
-25,0.9333,0.9467,0.9467,0.9467,0.9467,0.9467,0.9467
-20,0.9467,0.9467,0.9467,0.9467,0.9467,0.9467,0.9467
-15,0.9333,0.96,0.96,0.96,0.96,0.96,0.96
-10,0.9467,0.9333,0.96,0.96,0.96,0.96,0.96
-5,0.9333,0.9733,0.9333,0.9467,0.9467,0.9467,0.9467
0,0.96,0.9467,0.9333,0.9733,0.9733,0.9733,0.9733
5,0.9333,0.9467,0.9333,0.9733,0.9733,0.9733,0.9733
10,0.9333,0.9333,0.9867,0.9733,0.9733,0.9067,0.9067
15,0.9467,0.9467,0.9867,0.96,0.9733,0.9067,0.9067
20,0.92,0.9733,0.9333,0.9733,0.8667,0.9733,0.9733
25,0.8933,0.9867,0.9867,0.9733,0.9333,0.9733,0.8533
30,0.9467,0.9467,0.9333,0.96,0.9867,0.92,0.8533
35,0.9467,0.9467,0.9333,0.9867,0.96,0.9333,0.9333
40,0.76,0.9733,0.9733,0.9867,0.9333,0.9467,0.9467
45,0.7067,0.9467,0.9067,0.9333,0.9333,0.9467,0.96
50,0.7867,0.8933,0.9467,0.9733,0.9333,0.9733,0.9467
55,0.8267,0.7733,0.9067,0.92,0.92,0.9333,0.9733
60,0.6933,0.7067,0.8133,0.9733,0.9067,0.9867,0.9733
65,0.6667,0.9333,0.9467,0.9733,0.9733,0.92,0.9333
70,0.6667,0.8533,0.8933,0.88,0.9733,0.9867,0.9733
75,0.3333,0.84,0.9467,0.84,0.9467,0.9333,0.9733
80,0.3333,0.6933,0.8933,0.76,0.92,0.9067,0.8933
85,0.3333,0.3333,0.88,0.6933,0.8533,0.9067,0.9733
90,0.3333,0.3333,0.76,0.8933,0.72,0.9467,0.9733
95,0.3333,0.3333,0.6933,0.9467,0.6667,0.9067,0.9733
100,0.3333,0.3333,0.9333,0.88,0.8933,0.8133,0.9733
